delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,delta_d_polymer,delta_p_polymer,delta_h_polymer,compatible
16.4,0.0,0.0,326.9,16.9,3.3,4.1,1
15.5,0.0,0.0,163.5,16.9,3.3,4.1,1
15.1,3.3,8.2,159.0,16.9,3.3,4.1,1
16.0,5.0,11.9,157.7,16.9,3.3,4.1,0
15.3,1.0,2.4,158.0,16.9,3.3,4.1,1
15.8,2.9,5.1,196.0,16.9,3.3,4.1,1
17.0,14.3,22.0,47.4,16.9,3.3,4.1,0
16.1,3.8,7.5,85.8,16.9,3.3,4.1,1
18.0,9.1,5.4,65.0,16.9,3.3,4.1,1
17.8,10.5,13.9,151.2,16.9,3.3,4.1,0
18.5,6.3,8.9,103.6,16.9,3.3,4.1,1
15.7,9.4,5.8,106.4,16.9,3.3,4.1,0
14.5,0.0,0.0,116.2,16.9,3.3,4.1,0
17.1,9.0,4.1,103.1,16.9,3.3,4.1,1
15.0,4.1,10.3,109.2,16.9,3.3,4.1,1
15.9,5.9,13.9,108.6,16.9,3.3,4.1,1
15.5,8.1,6.8,98.7,16.9,3.3,4.1,1
13.9,1.4,3.8,110.4,16.9,3.3,4.1,1
15.8,5.2,5.7,165.3,16.9,3.3,4.1,1
20.3,17.1,4.8,148.2,16.9,3.3,4.1,0
18.4,4.5,4.0,127.3,16.9,3.3,4.1,1
18.0,5.9,14.9,87.5,16.9,3.3,4.1,0
19.8,5.2,6.4,126.9,16.9,3.3,4.1,1
19.5,12.3,3.8,114.9,16.9,3.3,4.1,1
18.8,2.8,4.0,109.1,16.9,3.3,4.1,1
20.4,6.5,14.0,98.5,16.9,3.3,4.1,0
16.4,5.3,5.3,71.7,16.9,3.3,4.1,1
14.7,18.6,26.8,52.8,16.9,3.3,4.1,0
18.1,9.3,0.0,93.2,16.9,3.3,4.1,1
18.4,3.6,0.0,87.3,16.9,3.3,4.1,1
20.6,20.1,10.1,96.8,16.9,3.3,4.1,0
19.2,7.0,6.0,130.0,16.9,3.3,4.1,1
18.1,5.6,8.0,97.9,16.9,3.3,4.1,1
17.6,4.5,8.9,98.9,16.9,3.3,4.1,1
15.3,3.0,6.8,60.1,16.9,3.3,4.1,0
13.4,0.0,0.0,89.5,16.9,3.3,4.1,0
16.8,13.5,23.2,72.5,16.9,3.3,4.1,0
16.3,6.8,6.5,94.1,16.9,3.3,4.1,1
