polymer_name,delta_d_polymer,delta_p_polymer,delta_h_polymer,r0_polymer,solvent_name,delta_d_solvent,delta_p_solvent,delta_h_solvent,molar_volume_cm3_mol,red_value,compatible
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclodecanone,16.8,8.0,4.1,161.0,0.5808,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cycloheptanone,17.2,10.6,4.8,118.2,0.9084,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexane,16.8,0.0,0.2,108.7,0.6312,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"Cyclohexane-1,2-Dicarboxylic Acid",16.4,2.2,5.0,422.4,0.2145,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexanediol,17.4,9.8,18.3,112.8,1.932,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexanedione,18.6,10.3,8.0,103.8,1.0746,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexanol,17.4,4.1,13.5,106.0,1.1712,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexanone,17.8,6.3,5.1,104.0,0.4492,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexene,17.2,1.0,5.0,101.9,0.3138,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexyl Benzene,18.7,0.0,1.0,169.9,0.7141,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexylamine,17.2,3.1,6.5,113.8,0.3064,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclohexylchloride,17.3,5.5,2.0,118.6,0.3883,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclooctanone,17.0,9.6,4.5,131.7,0.7797,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopentadiene,17.2,1.9,6.1,82.1,0.3104,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopentane,16.4,0.0,1.8,94.9,0.5117,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopentanone,17.9,11.9,5.2,89.1,1.0985,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopentene,16.7,3.8,1.7,89.0,0.3067,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopentenyl Alcohol,18.1,7.6,15.6,86.2,1.5444,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopropene,17.2,2.4,2.0,50.0,0.2916,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopropane,17.6,0.0,0.0,58.3,0.6724,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cyclopropylnitrile,18.6,16.2,5.7,75.4,1.6588,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Cis-Decahydronaphthalene,18.8,0.0,0.0,156.9,0.8014,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Trans-Decahydronaphthalene,18.0,0.0,0.0,156.9,0.7042,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Decane,15.7,0.0,0.0,195.9,0.7141,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Decanol,16.0,4.7,10.0,191.8,0.7809,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Decene,15.8,1.0,2.2,190.6,0.4576,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-(2-Ethyl Hexyl)azelate,16.7,1.4,4.8,449.9,0.2548,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-(2-Ethyl Hexyl)sebacate,16.8,1.0,4.7,468.7,0.2945,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-2-Ethyl Hexyl Amine,15.6,0.8,3.2,301.5,0.459,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-Isodecyl Phthalate,16.6,6.2,2.6,464.2,0.4098,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-Isoheptyl Phthalate,16.8,7.2,3.4,364.9,0.4898,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-Isononyl Adipate,16.2,1.8,4.9,433.7,0.2719,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-Isononyl Phthalate,16.6,6.6,2.9,432.4,0.4398,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-Isopropyl Methyl Phosphonate,16.4,10.0,5.7,184.4,0.8593,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Di-Isopropyl Phosphonofluoridat,15.7,10.2,5.9,174.5,0.9289,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diallyl Amine,15.6,4.5,6.7,124.1,0.4775,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diazomethane,14.7,6.1,11.3,78.1,1.0976,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dibasic Esters (dupont) Mix of,16.2,4.7,8.4,159.0,0.5844,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dibenzyl Sebacate,17.8,2.2,5.5,362.1,0.3126,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dibromo Methane,17.8,6.4,7.0,69.8,0.5692,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dibutyl Amine,15.0,3.0,4.3,170.0,0.4712,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"N,N-Dibutyl Formamide",15.5,8.9,6.2,182.0,0.8153,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dibutyl Ketone,16.0,7.7,4.4,173.4,0.5881,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dibutyl Phthalate,17.8,8.6,4.1,266.0,0.691,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dibutyl Sebacate,16.7,4.5,4.1,339.0,0.1562,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dichloroacetaldehyde,16.7,9.1,7.5,94.0,0.8315,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dichloroacetic Acid,18.2,8.1,12.2,82.5,1.2059,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dichloroacetonitrile,17.4,9.4,6.4,80.3,0.8143,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dichlorodifluoromethane (Freon 12,12.3,2.0,0.0,92.3,1.2538,0
Polyethylene (PE),16.9,3.3,4.1,8.1,"N,N-Dichloromethyl Amine",16.8,7.6,8.0,90.8,0.7171,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"N,N-Dichloroethyl Amine",16.8,7.6,7.7,98.3,0.6928,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Dichloromethyl Methyl Ether,17.1,12.9,6.5,90.5,1.2227,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Dichloromonofluoromethane (Freon 21,15.8,3.1,5.7,75.4,0.3367,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"N,N-Diethyl Acetamide",16.4,11.3,7.5,124.5,1.0802,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Amine,14.9,2.3,6.1,103.2,0.5658,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Carbonate,15.1,6.3,3.5,121.0,0.5833,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Ether,14.5,2.9,5.1,104.8,0.6073,1
Polyethylene (PE),16.9,3.3,4.1,8.1,"N,N-Diethyl Formamide",16.4,11.4,9.2,111.4,1.1881,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Ketone,15.8,7.6,4.7,106.4,0.6009,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Malonate,16.1,7.7,8.3,152.5,0.7765,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Oxalate,16.2,8.0,8.8,136.6,0.8386,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Phthalate,17.6,9.6,4.5,198.0,0.7983,1
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Sulfate,15.7,14.7,7.1,131.5,1.4852,0
Polyethylene (PE),16.9,3.3,4.1,8.1,Diethyl Sulfid,16.8,3.1,2.0,107.4,0.2616,1
